perfil,tamanho,instancia,algoritmo,exato,status,soma_a,soma_b,diferenca,diferenca_referencia,referencia_comprovada,gap_absoluto,gap_percentual,desequilibrio_relativo_pct,atingiu_otimo,tempo_ms,tempo_min_ms,tempo_max_ms,tempo_desvio_padrao_ms,repeticoes_medicao,memoria_alocada_mb,estados_explorados,chamadas_recursivas,podas,profundidade_maxima,observacao
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v1,ProgramacaoDinamica,true,SUCESSO,754,754,0,0,true,0,0.0000,0.000000,true,0.1845,0.1845,0.1845,0.0000,1,0.0203,19630,0,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v1,Guloso,false,SUCESSO,754,754,0,0,true,0,0.0000,0.000000,true,0.0363,0.0363,0.0363,0.0000,1,0.0003,26,0,0,26,
UNIFORME_PEQUENO,26,uniforme_pequeno_n26_v1,KarmarkarKarp,false,SUCESSO,754,754,0,0,true,0,0.0000,0.000000,true,0.1654,0.1654,0.1654,0.0000,1,0.0056,25,0,0,9,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v0,Backtracking,true,SUCESSO,695,695,0,0,true,0,0.0000,0.000000,true,0.2917,0.2917,0.2917,0.0000,1,0.0003,65531,65531,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v0,BranchAndBound,true,SUCESSO,695,695,0,0,true,0,0.0000,0.000000,true,0.0547,0.0547,0.0547,0.0000,1,0.0008,2598,2598,912,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v0,ProgramacaoDinamica,true,SUCESSO,695,695,0,0,true,0,0.0000,0.000000,true,0.1642,0.1642,0.1642,0.0000,1,0.0200,19488,0,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v0,Guloso,false,SUCESSO,697,693,4,0,true,4,,0.287770,false,0.0301,0.0301,0.0301,0.0000,1,0.0003,28,0,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v0,KarmarkarKarp,false,SUCESSO,695,695,0,0,true,0,0.0000,0.000000,true,0.1008,0.1008,0.1008,0.0000,1,0.0060,27,0,0,8,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v1,Backtracking,true,SUCESSO,679,679,0,0,true,0,0.0000,0.000000,true,0.0448,0.0448,0.0448,0.0000,1,0.0003,12271,12271,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v1,BranchAndBound,true,SUCESSO,679,679,0,0,true,0,0.0000,0.000000,true,0.0484,0.0484,0.0484,0.0000,1,0.0008,2577,2577,919,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v1,ProgramacaoDinamica,true,SUCESSO,679,679,0,0,true,0,0.0000,0.000000,true,0.3275,0.3275,0.3275,0.0000,1,0.0195,19040,0,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v1,Guloso,false,SUCESSO,677,681,4,0,true,4,,0.294551,false,0.0460,0.0460,0.0460,0.0000,1,0.0003,28,0,0,28,
UNIFORME_PEQUENO,28,uniforme_pequeno_n28_v1,KarmarkarKarp,false,SUCESSO,679,679,0,0,true,0,0.0000,0.000000,true,0.1237,0.1237,0.1237,0.0000,1,0.0060,27,0,0,6,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v0,Backtracking,true,SUCESSO,894,894,0,0,true,0,0.0000,0.000000,true,1.4162,1.4162,1.4162,0.0000,1,0.0003,310798,310798,0,30,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v0,BranchAndBound,true,SUCESSO,894,894,0,0,true,0,0.0000,0.000000,true,0.0719,0.0719,0.0719,0.0000,1,0.0008,2563,2563,881,30,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v0,ProgramacaoDinamica,true,SUCESSO,894,894,0,0,true,0,0.0000,0.000000,true,0.4027,0.4027,0.4027,0.0000,1,0.0273,26850,0,0,30,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v0,Guloso,false,SUCESSO,890,898,8,0,true,8,,0.447427,false,0.0295,0.0295,0.0295,0.0000,1,0.0003,30,0,0,30,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v0,KarmarkarKarp,false,SUCESSO,894,894,0,0,true,0,0.0000,0.000000,true,0.1456,0.1456,0.1456,0.0000,1,0.0064,29,0,0,6,
UNIFORME_PEQUENO,30,uniforme_pequeno_n30_v1,Backtracking,true,SUCESSO,700,700,0,0,true,0,0.0000,0.000000,true,0.2431,0.2431,0.2431,0.0000,1,0.0003,81933,81933,0,30,
